card_id,set_id,set_position,card_stat_display,image_name,attribute,cost,description,description_eng,disposal,before_evolution_uid,evolution_uid,max_level,initial_level,skill_name,skill_name_eng,name,name_eng,rarity,strongest_level,skill_description,skill_description_eng,initial_attack_base,initial_defense_base,max_attack_base,max_defense_base,macarons,type,ringable,created_at
319,319,1,1,e5ae450b27b9043c2c50ca6795401f75,SWEET,6,今出来ることは、先延ばしにしない。後から…なんて考えてると、あっという間に時間が過ぎてっちゃうからね。ってな訳で、早速体育祭に向けた練習でも始めようか？,,150,NULL,320,20,1,なし,,伊勢崎郁歩,,N,20,なし,,184,216,731,858,NULL,NULL,NULL,2016-10-30 23-54-0
320,319,2,2,a57936230103f91998f0535e73ebbdb9,SWEET,6,○○○…もうバテバテ？そんなんじゃ、本番でいい動き出来ないよ。どうにかなるさ、なんて考えてたってダメ。上達するには、努力するしかないんだから。,,225,319,321,20,1,なし,,伊勢崎郁歩+,,N,20,なし,,220,259,877,1030,NULL,NULL,NULL,2016-10-30 23-54-0
321,319,3,3,4d794202420789d74331fd9ca7d044c9,SWEET,6,…どうしちゃったの？ 不安そうな顔して。もしかして失敗した時の事なんて考えてる？ダメダメ?、気持ちで負けてちゃあ、どんな勝負にだって勝てなくなっちゃうよ。,,450,320,NULL,30,1,なし,,[真剣体育祭]伊勢崎郁歩,,HN,20,なし,,276,324,1096,1287,NULL,NULL,NULL,2016-10-30 23-54-0
1734,1734,1,1,7a9a3a973f54ecc0aa8270a0d7e794a5,SWEET,11,百人一首にいろはかるた。それに、郷土かるたにアニメかるた！かるたには色々な種類があるからね。まずは自分の好きなかるたに挑戦してみよ！,,5000,NULL,1735,40,1,お手つきに注意だよ！,,伊勢崎郁歩,,R,80,SWEETタイプの守援中UP,,672,728,2167,2347,NULL,NULL,NULL,2016-10-30 23-54-0
1735,1734,2,2,8989ec2bc5c5ee3b8e8783002d8e065a,SWEET,11,実際に競技かるたをやってみてどうかな？かるたの楽しさが伝わったならいいけど…え？私のおかげで楽しさが分かってきた？もう！上手い事言って！でも、嬉しいな♪,,7500,1734,1736,40,1,お手つきに注意だよ！,,伊勢崎郁歩+,,R,80,SWEETタイプの守援中UP,,806,873,2600,2817,NULL,NULL,NULL,2016-10-30 23-54-0
1736,1734,3,3,98e31b6ecfc811f7653e2f1b89f5147d,SWEET,11,かるたに興味を持ってくれたみたいだね。それなら、かるた部に入部してよ！入部したら私と毎日かるたが出来るよ？悪い話じゃないと思うけど…どう、かな…？,,15000,1735,NULL,50,1,お手つきに注意だよ！,,[勧誘かるた]伊勢崎郁歩,,HR,80,SWEETタイプの守援中UP,,1008,1092,3249,3519,NULL,NULL,NULL,2016-10-30 23-54-0
6400,6400,1,1,9f99d7a06a9fbf9cf36295cba64cf38d,SWEET,15,いらっしゃいませ！　今日はかるた大会だよ！　新年だからって手加減はしないよ！　だって、新年一発目から負けたくないし！　準備はいい？　それじゃあ、始めよっか！,,10000,NULL,6401,50,1,じゃあ、詠むよ？準備はいい？,,[振袖16]伊勢崎郁歩,,HR,150,主センバツ全員&副センバツ1人の守援中UP,,224,176,890,699,NULL,NULL,NULL,2016-10-30 23-54-0
6401,6400,2,2,be88be23f18b229875d2b27293bd0f13,SWEET,15,あはは！　[nick]クンも中々やるねっ！　でもね、ここまではお遊び。ここからは本気でいくよっ！　覚悟はいい？　ふふっ、未来のクイーンの力、見せてあげる！,,15000,6400,6402,50,1,じゃあ、詠むよ？準備はいい？,,[振袖16]伊勢崎郁歩+,,HR,150,主センバツ全員&副センバツ1人の守援中UP,,268,211,1068,839,NULL,NULL,NULL,2016-10-30 23-54-0
6402,6400,3,3,b51b5c894ef0f414aabddf530403aacb,SWEET,15,ふぅ…中々良い勝負だったね！　でも、まだまだ私の足下にも及ばないかな！　悔しい？　それなら私がビシバシ鍛えてあげる！　だから、ね…今年も部室に遊びに来てよね。,,30000,6401,NULL,60,1,じゃあ、詠むよ？準備はいい？,,[響け恋の歌]伊勢崎郁歩,,SR,150,主センバツ全員&副センバツ1人の守援中UP,,336,264,1335,1048,NULL,NULL,NULL,2016-10-30 23-54-0
6746,6746,1,1,840d2ad78b8aef70a312e28b8fec8ad6,SWEET,10,失礼します…　あれ、何してるの？　…ふーん、探し物かぁ。実は私も探し物。頼まれてAEDを取りに来たんだけど…　ここにあるはずだよね？　どこなのかな？,,5000,NULL,6747,40,1,人命救助、始めます！,,[防災訓練16]伊勢崎郁歩,,R,80,全タイプの攻援小DOWN,,336,264,1285,1009,NULL,NULL,NULL,2016-10-30 23-54-0
6747,6746,2,2,6ae734380abb8e560d253c205af54328,SWEET,10,うーん、なかなか見つからないかも…　え、ダンボールの陰にそれらしき物が？　ああ、これか?　これがAEDなんだ。ありがとう！　じゃあ、持ってくね?,,7500,6746,6748,40,1,人命救助、始めます！,,[防災訓練16]伊勢崎郁歩+,,R,80,全タイプの攻援小DOWN,,403,316,1542,1211,NULL,NULL,NULL,2016-10-30 23-54-0
6748,6746,3,3,27eede8b89f0c3342837401020e19662,SWEET,10,人生初のAED体験かぁ…　緊張する…　これとこれを倒れている人に貼ってっと…　ボタンを押せばいいんだよね？　…え、えい！　機械の指示に従うだけなのに緊張するよ。,,15000,6747,NULL,50,1,人命救助、始めます！,,[指示通りに]伊勢崎郁歩,,HR,80,全タイプの攻援小DOWN,,504,396,1926,1514,NULL,NULL,NULL,2016-10-30 23-54-0
7118,7118,1,1,4fff1b34863571a5198b006ddb57e67b,SWEET,13,やっぱり間近で見てもらうのが一番かな。何…って、かるたの事だよ。部活のね。かるたの楽しさって、なかなか伝わりにくいんだけど、まずは触ってもらうところからかな?,,20000,NULL,7119,60,1,一年の計はかるたにあり?！,,[新歓16]伊勢崎郁歩,,SR,250,SWEETタイプの攻守大UP,,480,520,1692,1833,NULL,NULL,NULL,2016-10-30 23-54-0
7119,7118,2,2,8ba53bf51e64dfce4eba6cb42a3cc2ad,SWEET,13,ほら、絵柄も色も綺麗でしょ?？　…え、もっと目立つようにかるたを見せる？　それって例えば…　外でかるたをするの！？　確かにそれなら、アピールできるかも！,,30000,7118,7120,60,1,一年の計はかるたにあり?！,,[新歓16]伊勢崎郁歩+,,SR,250,SWEETタイプの攻守大UP,,576,624,2030,2199,NULL,NULL,NULL,2016-10-30 23-54-0
7120,7118,3,3,a83a1b11fbb7f9938dd7d813d4f736ac,SWEET,13,ひさーかた?の?…　ハイっ！　わぁ、こんなにたくさんの人が見てくれてる！　キミのアイディアのお陰だよ。ありがと！　よ?し、もっと張り切ってかるたするぞー！,,60000,7119,NULL,70,1,一年の計はかるたにあり?！,,[ひさかたの]伊勢崎郁歩,,SSR,250,SWEETタイプの攻守大UP,,720,780,2536,2748,NULL,NULL,NULL,2016-10-30 23-54-0
7430,7430,1,1,120448681e01d86ea7aecfe00f28aa43,SWEET,13,へえ、これが手裏剣か…　実際に持つと、結構重たいものなんだねぇ、これ。それで、あの的を狙って投げればいいの？　え?と、こう握って…　こ、こんな感じかな？,,10000,NULL,7431,50,1,シュシュっと早業、期待してるよ！,,[くノ一体験]伊勢崎郁歩,,HR,150,全タイプの攻援中DOWN,,352,448,1293,1646,NULL,NULL,NULL,2016-10-30 23-54-0
7431,7430,2,2,373570e6af04b77dad6968ecbb9cf6a3,SWEET,13,ああ、また外れた！　おかしいなぁ…　ちゃんと習った通りに、投げてる筈なのに。どうやったら真っ直ぐ飛んでくれるんだろ…　ねぇねぇ、なにかいいアイディアってない？,,15000,7430,7432,50,1,シュシュっと早業、期待してるよ！,,[くノ一体験]伊勢崎郁歩+,,HR,150,全タイプの攻援中DOWN,,422,537,1552,1975,NULL,NULL,NULL,2016-10-30 23-54-0
7432,7430,3,3,a9e7e7090eaaec05dc130a0e23815dbc,SWEET,13,え、かるたみたいに思い切って？　う?ん、そんな簡単にいくと思えないけど…　まあ、でも一応やってみるね。…それっ！　どう？　この投げ方で…　上手くいってる？,,30000,7431,NULL,60,1,シュシュっと早業、期待してるよ！,,[カルタ手裏剣]伊勢崎郁歩,,SR,150,全タイプの攻援中DOWN,,528,672,1939,2468,NULL,NULL,NULL,2016-10-30 23-54-0
7,7,1,1,34d79131c7e04e98df2315e482a9eacd,SWEET,4,あっ…エールの練習してたの…見てたの？え、えっと…わたしは林田たまき。応援団に所属してる三年生よ。キミもやってみる？スカっとするかも？,,150,NULL,8,20,1,なし,,林田たまき,,N,20,なし,,648,552,2187,1863,NULL,NULL,NULL,2016-10-30 23-54-0
8,7,2,2,a1cc97c9fb1ec6c00a472d5d43e5e133,SWEET,4,ほ?ら見て、これが私の正装よ。代々伝わるこの学ランこそ、応援団の証。よ?し！これからお姉ちゃんがキミの事、しっかりと応援してあげちゃうね！,,225,7,9,20,1,なし,,林田たまき+,,N,20,なし,,777,662,2624,2235,NULL,NULL,NULL,2016-10-30 23-54-0
9,7,3,3,fadc0d399ac8cb5776b73aa664926a8d,SWEET,4,○○○、とうとうここまで来たのね！お姉ちゃん、モーレツに感動中よ！今日は特に想いを込めて、キミへのエールを送るね！フレー！フレー！,,450,8,NULL,30,1,なし,,[応援愛好家]林田たまき,,HN,20,なし,,972,828,3278,2793,NULL,NULL,NULL,2016-10-30 23-54-0
4157,4157,1,1,c73b121a4af72a32d2916bb904efe6eb,SWEET,11,…たまには応援するだけじゃなくて、自分でも身体を動かしてみた方が…なんて思って参加してみたんだけど、ちゃんと運動するのは、やっぱり大変ね…,,5000,NULL,4158,40,1,一緒に頑張りましょうね,,[ロードレース]林田たまき,,R,80,全タイプの攻援小UP,,644,756,2076,2438,NULL,NULL,NULL,2016-10-30 23-54-0
4158,4157,2,2,0017b22ef06b60cee6e412f4fd1039cc,SWEET,11,はぁ、はぁ…これで、どれくらいまで…半分くらい？まだ、あと半分あるのね?…少し休んだ方がいい？でも、それじゃ…ううん、そうね。そうしましょうか。,,7500,4157,4159,40,1,一緒に頑張りましょうね,,[ロードレース]林田たまき+,,R,80,全タイプの攻援小UP,,772,907,2492,2925,NULL,NULL,NULL,2016-10-30 23-54-0
4159,4157,3,3,6dd08e2417960e70d3c4dc16defe430f,SWEET,11,…ふう、大分落ち着いてきたかな。…ん？応援してるから、最後まで走りきろう？…ふふ、なんだかいつもと立場が逆ね。でも、そう言われたら頑張らないと。,,15000,4158,NULL,50,1,一緒に頑張りましょうね,,[君の励まし]林田たまき,,HR,80,全タイプの攻援小UP,,966,1134,3113,3655,NULL,NULL,NULL,2016-10-30 23-54-0
10,10,1,1,fcd981c6994070e0f77105a31ba9aaa2,SWEET,5,ほ?ら！ハットの中からフラワーが♪先輩！わたしのマジック、見てくれた？わたし、島田泉、一年生！！未来の大奇術師とは、わったしのこと！,,150,NULL,11,20,1,なし,,島田泉,,N,20,なし,,440,560,1551,1974,NULL,NULL,NULL,2016-10-30 23-54-0
11,10,2,2,1cdd135fd33b84b3217e75ebac34c317,SWEET,5,は?い！そこの先輩ジェントルマン！なんにもない空っぽのハットから…ポン！可愛い小鳥さんが現れちゃったぁ！驚いてる驚いてる！先輩ビックリしてる！,,225,10,12,20,1,なし,,島田泉+,,N,20,なし,,528,672,1861,2368,NULL,NULL,NULL,2016-10-30 23-54-0
12,10,3,3,492948dd1ffab04e498790265ff0055b,SWEET,5,先輩にだけ、特別に見せてあげる。わたしの初公開ニュー・イリュージョン！先輩…ううん、○○○先輩！これからもいっぱい驚かせてあげる！,,450,11,NULL,30,1,なし,,[大奇術師]島田泉,,HN,20,なし,,660,840,2325,2959,NULL,NULL,NULL,2016-10-30 23-54-0
13,13,1,1,abd7bd09e37105d5ba4d671a751c54ad,SWEET,2,料理部に見学の二年生くん？ちょうど炊きたてがあるから、食べてみる？それに、大根のお味噌汁と肉じゃがも。私、鍋島ちより。三年生だよ。,,150,NULL,14,20,1,なし,,鍋島ちより,,N,20,なし,,432,368,1587,1352,NULL,NULL,NULL,2016-10-30 23-54-0
14,13,2,2,d8ecca4609c32b81dc197c248cab9430,SWEET,2,あ、○○○君、よく来たわね?。今日はね、まぜご飯を作ってみたんだよ。美味しくできてるから、たんと召し上がれ。○○○君の食べっぷりは最高だね！,,225,13,15,20,1,なし,,鍋島ちより+,,N,20,なし,,518,441,1905,1622,NULL,NULL,NULL,2016-10-30 23-54-0
15,13,3,3,0f939eeaa70e8e3874677d9da3b5cdf5,SWEET,2,あら偶然！○○○も買い物？私は裁縫用品に掃除道具…。あとね、お味噌を買いに来たの！女子高生っぽくないかなぁ？やっぱり…。,,450,14,NULL,30,1,なし,,[お料理女子]鍋島ちより,,HN,20,なし,,648,552,2380,2027,NULL,NULL,NULL,2016-10-30 23-54-0
7412,7412,1,1,4dafc4a8ed9d220a54082f342fc867d0,SWEET,14,私たち料理部は皆、審査員なの。料理は得意だから、普通に参加するのは、ね。だから、皆の作った料理を試食して、誰の料理が美味しいか審査させてもらうことにしたのよ。,,5000,NULL,7413,40,1,しっかり心を込めてね！,,[料理コンテスト16]鍋島ちより,,R,80,SWEETタイプの攻守小UP,,528,672,1782,2268,NULL,NULL,NULL,2016-10-30 23-54-0
7413,7412,2,2,68814ece5d4e888f876ea6da0df82e67,SWEET,14,あらまぁ、先に卵を入れちゃうの？あと、小麦粉はふるって入れた方がいいわよ?そうそう、その調子！上手に出来てる?人が作ってるのを見るのってわくわくするわね?,,7500,7412,7414,40,1,しっかり心を込めてね！,,[料理コンテスト16]鍋島ちより+,,R,80,SWEETタイプの攻守小UP,,633,806,2138,2721,NULL,NULL,NULL,2016-10-30 23-54-0
7414,7412,3,3,4caca60e7cbc0b49b6bffabd2eee84b7,SWEET,14,うん、美味しい?見栄えもきれいだし、頑張ってますね。…お、隠し味も使ってるみたいですね?この味は、ヨーグルトの酸味と…え、採点？あ、そうでしたね。採点は…,,15000,7413,NULL,50,1,しっかり心を込めてね！,,[審査員視点]鍋島ちより,,HR,80,SWEETタイプの攻守小UP,,792,1008,2671,3400,NULL,NULL,NULL,2016-10-30 23-54-0
16,16,1,1,a8f63841d65078066823b5ba4289fa3d,SWEET,7,あっとと…ボール拾ってくれてありがと。えっとぉ…二年の先輩さんですねー。わたし、一年の小倉愛です！見たまんま、テニス部ですっ！,,150,NULL,17,20,1,なし,,小倉愛,,N,20,なし,,200,200,795,795,NULL,NULL,NULL,2016-10-30 23-54-0
17,16,2,2,873cb644f6925f929dfd4b114f2955c5,SWEET,7,とっても可愛いでしょ、このテニスウェア。わたしとってもお気に入りなんです。あー…○○○さん、今わたしの事、すっごくちっこいって思ったでしょー！,,225,16,18,20,1,なし,,小倉愛+,,N,20,なし,,240,240,954,954,NULL,NULL,NULL,2016-10-30 23-54-0
18,16,3,3,d87b12deb3fcd887e11cfe78ce091aca,SWEET,7,○○○さんとテニスなんて、夢みたいっ。だっけど手は抜きませんよー。わたしが勝ったら、お願いを叶えたいです。わたし、先輩とペアを組みたいんです?。,,450,17,NULL,30,1,なし,,[庭球の蕾]小倉愛,,HN,20,なし,,300,300,1192,1192,NULL,NULL,NULL,2016-10-30 23-54-0
1900,1900,1,1,20776da2cd65e01f8a706388af323cfb,SWEET,11,…よいしょっとぉ。後はこれをしまえば、今日の片付けは終わりだと思います。でも、本当によかったんでしょうか?？テニス部の片づけを手伝って貰っちゃって…,,5000,NULL,1901,40,1,今日も楽しくやっちゃいましょ?,,小倉愛,,R,80,SWEETタイプの守援中UP,,312,288,1193,1101,NULL,NULL,NULL,2016-10-30 23-54-0
1901,1900,2,2,ff8b711c9a1c96dd002572f25c917c3f,SWEET,11,大変そうだったから？ で、でもでも、これは部員としては当然のことなので…それを先輩に手伝って貰っちゃうのは…あ、はい、これで全部大丈夫そうですっ。,,7500,1900,1902,40,1,今日も楽しくやっちゃいましょ?,,小倉愛+,,R,80,SWEETタイプの守援中UP,,374,345,1432,1321,NULL,NULL,NULL,2016-10-30 23-54-0
1902,1900,3,3,30226551b6934770000e8de211ad3f4c,SWEET,11,…お待たせしました? メニューの方が、少し時間がかかっちゃって…すいません。じゃあ、いただきま?す。…うん、美味し…はい？ わわ、ソースが付いてますかぁ？,,15000,1901,NULL,50,1,今日も楽しくやっちゃいましょ?,,[寄り道楽し]小倉愛,,HR,80,SWEETタイプの守援中UP,,468,432,1789,1651,NULL,NULL,NULL,2016-10-30 23-54-0
2304,2304,1,1,1446a429628d4807483c7fa8517ec69c,SWEET,8,運動部の合同合宿ですか、すごいですね?集まるとこんなにいるものなんですね。最初はみんなで基礎練習からですけど、この人数だとそれだけですごいですよ?,,5000,NULL,2305,40,1,かっこよくサーブ決めちゃいます！,,[運動合宿]小倉愛,,R,80,全タイプの守援小UP,,770,630,2483,2031,NULL,NULL,NULL,2016-10-30 23-54-0
2305,2304,2,2,955142833b3ee379da70d09215f88918,SWEET,8,こうして他の部活の人たちも見てると、なんだかいろいろと面白いですよね?筋トレの回数や速さで張り合ってたり…あそこで勝負してるのは何部でしょう？,,7500,2304,2306,40,1,かっこよくサーブ決めちゃいます！,,[運動合宿]小倉愛+,,R,80,全タイプの守援小UP,,924,756,2979,2438,NULL,NULL,NULL,2016-10-30 23-54-0
2306,2304,3,3,e816a4fef42a1503e41d1e81e98a0549,SWEET,8,…あ、○○○さん。どうしました？○○○さんもテニスしていきますか？…はい、今は他の部の人たちとテニスを。これもなんだか経験の一つみたいですよ?,,15000,2305,NULL,50,1,かっこよくサーブ決めちゃいます！,,[初合宿]小倉愛,,HR,80,全タイプの守援小UP,,1155,945,3722,3046,NULL,NULL,NULL,2016-10-30 23-54-0
2921,2921,1,1,f04f618f7868ab1d7f50a9f275c2e6bb,SWEET,10,…はぁ、水泳教室ですか? 思ったより、いっぱい人が来てるんですね?…泳ぎ教える方の人もたくさんいるから？なるほど?、だからこんなに多いんですか?,,5000,NULL,2922,40,1,練習の成果を見せちゃいましょうね,,[スク水]小倉愛,,R,80,SWEETタイプの守援中UP,,700,700,2257,2257,NULL,NULL,NULL,2016-10-30 23-54-0
2922,2921,2,2,5716acbf1c228286e79f54ceb18b5646,SWEET,10,あ、わたしもちょっとは泳げるんですよ？でも、全然上手ではないので…ここでしっかり教えてもらってですね、格好良く泳げるようになりたいな、って。,,7500,2921,2923,40,1,練習の成果を見せちゃいましょうね,,[スク水]小倉愛+,,R,80,SWEETタイプの守援中UP,,840,840,2709,2709,NULL,NULL,NULL,2016-10-30 23-54-0
2923,2921,3,3,16d0e2d5892defea3818552125461dd1,SWEET,10,…ぷはぁ！？ わわ、○○○さん？ど、どうしたんですか、急にだっこして？わたしが溺れてたから？ ち、違いますっ、今のはバタフライの練習ですよぉ?！,,15000,2922,NULL,50,1,練習の成果を見せちゃいましょうね,,[蝶には遠く]小倉愛,,HR,80,SWEETタイプの守援中UP,,1050,1050,3384,3384,NULL,NULL,NULL,2016-10-30 23-54-0
4130,4130,1,1,293819529f8182a8c2456093603088f3,SWEET,11,今日は男子のユニフォームで、ですかぁ。なんだか不思議な感じがしますよ?それで、一番小さいのを借りたんですけど…やっぱりまだちょっと大きいですよね?,,5000,NULL,4131,40,1,強めにいってみましょ?,,[メンズユニフォーム]小倉愛,,R,80,全タイプの攻援小DOWN,,540,660,2427,2967,NULL,NULL,NULL,2016-10-30 23-54-0
4131,4130,2,2,b7282faacc26003df0988fcc08678fb3,SWEET,11,はい？…なんだかこういうのも、新鮮でいい、ですか。そうですか?？でも、一応褒められた感じですから…なんとなく嬉しいかな、えへへ。,,7500,4130,4132,40,1,強めにいってみましょ?,,[メンズユニフォーム]小倉愛+,,R,80,全タイプの攻援小DOWN,,648,792,2911,3558,NULL,NULL,NULL,2016-10-30 23-54-0
4132,4130,3,3,89796404a1f3e4516404133e6eefc9f9,SWEET,11,それじゃ、次のサーブ、行きますよ?ボールをしっかりと見て…はい？やっぱり女子のユニフォームの方が嬉しい？もう、練習中に何を言ってるんですか?,,15000,4131,NULL,50,1,強めにいってみましょ?,,[男子テニス]小倉愛,,HR,80,全タイプの攻援小DOWN,,810,990,3640,4449,NULL,NULL,NULL,2016-10-30 23-54-0
5296,5296,1,1,999f86bb6e99296c6e26daa9a0061311,SWEET,11,…なんでテニスじゃなくて、サッカーを、ですか？　先輩がいるかな?、って思って。それで大正解でしたね?、えへへ?　あ、でも、ちゃんと試合も頑張りますから?,,5000,NULL,5297,40,1,シュートで決めちゃってくださ?い,,[球技大会15]小倉愛,,R,80,SWEETタイプの攻守小UP,,756,644,2438,2076,NULL,NULL,NULL,2016-10-30 23-54-0
5297,5296,2,2,3a53cf33dda793366f4cb731ca74ee86,SWEET,11,さすがに試合は別々？　まあそうですけど…あ、ウォーミングアップしておかないと。それは一緒でもいいですよね？　じゃあ、やりましょ?　それ、いっちにーさんしー…,,7500,5296,5298,40,1,シュートで決めちゃってくださ?い,,[球技大会15]小倉愛+,,R,80,SWEETタイプの攻守小UP,,907,772,2925,2492,NULL,NULL,NULL,2016-10-30 23-54-0
5298,5296,3,3,a37ef86bfbdf7d21069f5f63ad3dd60a,SWEET,11,うん、温まってきましたね?　あ、そうだ。先輩先輩、こんなことできたりしますか？　ちょっとボールを借りて…　ほっ、それ！　ほらほら?、結構上手じゃないですか?？,,15000,5297,NULL,50,1,シュートで決めちゃってくださ?い,,[玉の扱いは]小倉愛,,HR,80,SWEETタイプの攻守小UP,,1134,966,3655,3113,NULL,NULL,NULL,2016-10-30 23-54-0
5737,5737,1,1,94e69327472ba03b1eb4e86b0e2be7af,SWEET,9,先輩、お疲れ様で?す。大活躍でしたね。…はい、もちろん見てましたよ?　あ、これ、タオルどうぞ。…大丈夫です、たくさん持って来たので、使って下さい。,,5000,NULL,5738,40,1,全力でいっちゃいましょ?！,,[体育祭15]小倉愛,,R,80,SWEETの主センバツ全員&副センバツ1人の攻守小UP,,1360,1159,4952,4218,NULL,NULL,NULL,2016-10-30 23-54-0
5738,5737,2,2,9dbdeb8f7ef332d4f44878b78d3bc59f,SWEET,9,わたしですか？　わたしもそろそろ、出番なんですよ?　女子のリレーですっ。ちゃんと見て、応援してくれる、ですか？　…はいっ、がんばって来ちゃいますっ！,,7500,5737,5739,40,1,全力でいっちゃいましょ?！,,[体育祭15]小倉愛+,,R,80,SWEETの主センバツ全員&副センバツ1人の攻守小UP,,1632,1391,5938,5059,NULL,NULL,NULL,2016-10-30 23-54-0
5739,5737,3,3,cea1ee3685d0489fb2662ac6eb0114c7,SWEET,9,…はっ、はっ…　わたしも運動部だもん、あ、あと一人くらい、抜けるはず…よしっ、抜いたぁ！　このままこのまま、次の子に…　ば、バトンタ?ッチ！,,15000,5738,NULL,50,1,全力でいっちゃいましょ?！,,[運動部です]小倉愛,,HR,80,SWEETの主センバツ全員&副センバツ1人の攻守小UP,,2041,1738,7426,6325,NULL,NULL,NULL,2016-10-30 23-54-0
